osm:machinetag,mz:machinetag
osm:shop=office_supplies,shop_and_service:shop=stationery_and_office_supplies
osm:shop=computer,shop_and_service:shop=computer
osm:shop=outdoor,shop_and_service:shop=outdoor_supply
osm:shop=bicycle,shop_and_service:shop=bicycle
osm:shop=fishing,shop_and_service:shop=fishing_supply
osm:shop=hunting,shop_and_service:shop=hunting_supply
osm:amenity=dentist,health:health=dentist
osm:amenity=doctors,health:health=doctor
osm:office=physician,health:health=medical_center
osm:shop=optician,health:health=optometrist
osm:shop=clothes,shop_and_service:shop=clothing_store
osm:amenity=bank,shop_and_service:money=bank
osm:amenity=bureau_de_change,shop_and_service:money=bureau_de_change
osm:amenity=atm,shop_and_service:money=atm
osm:shop=books,shop_and_service:shop=books
osm:shop=pet,shop_and_service:shop=pet_store
osm:shop=fashion,shop_and_service:shop=fashion
osm:shop=cosmetics,shop_and_service:shop=beauty_and_cosmetics
osm:shop=florist,shop_and_service:shop=florist
osm:shop=hairdresser,shop_and_service:service=beauty_salon
osm:shop=car_repair,mobility:mobility=auto_repair
osm:amenity=car_wash,mobility:mobility=car_wash
osm:shop=bakery,shop_and_service:shop=bakery
osm:tourism=bed_and_breakfast,shop_and_service:sleep=bed_and_breakfast
osm:tourism=chalet,shop_and_service:sleep=chalets
osm:tourism=guest_house,shop_and_service:sleep=guest_house
osm:tourism=hostel,shop_and_service:sleep=hostel
osm:shop=tattoo,shop_and_service:service=tattoo_parlor
osm:leisure=fitness_centre,do_and_see:fun=fitness_center
osm:amenity=arts_centre,do_and_see:fun=arts_center
osm:shop=toys,shop_and_service:shop=toy_and_game_store
osm:man_made=telescope,do_and_see:attraction=telescope
osm:historic=memorial,do_and_see:attraction=memorial
osm:amenity=animal_shelter,do_and_see:attraction=animal_shelter
osm:man_made=windmill,do_and_see:attraction=windmill
osm:tourism=artwork,do_and_see:fun=artwork
osm:attraction=water_slide,do_and_see:fun=water_slide
osm:attraction=amusement_ride,do_and_see:fun=theme_park_attraction
osm:leisure=amusement_arcade,do_and_see:fun=arcade
osm:power=generator,shop_and_service:service=electric
osm:leisure=dog_park,do_and_see:attraction=dog_park
osm:amenity=picnic_site,do_and_see:attraction=picnic_area
osm:shop=cheese,shop_and_service:shop=cheese
osm:shop=chocolate,shop_and_service:shop=chocolate
osm:shop=butcher,shop_and_service:shop=butcher
osm:shop=fish,shop_and_service:shop=fish_market
osm:man_made=communications_tower,other:civic=communications_tower
osm:natural=dune,other:nature=dune
osm:natural=geyser,other:nature=geyser
osm:shop=motorcycle,shop_and_service:service=motorcycle_sales
osm:leisure=adult_gaming_centre,do_and_see:fun=adult_gaming_center
osm:amenity=gambling,do_and_see:fun=gambling
osm:leisure=dance,do_and_see:fun=dance
osm:amenity=dojo,do_and_see:fun=dojo
osm:amenity=gym,do_and_see:fun=gym
osm:amenity=dive_centre,do_and_see:fun=dive_center
osm:shop=ski,shop_and_service:shop=ski_rental
osm:amenity=ski_school,do_and_see:fun=ski_school
osm:barrier=toll_booth,other:transport=toll_booth
osm:tourism=winery,other:industry=vineyard
osm:amenity=toilets,do_and_see:attraction=restrooms
osm:amenity=drinking_water,other:civic=drinking_water
osm:healthcare=midwife,health:health=midwife
osm:highway=trailhead,do_and_see:fun=trailhead
osm:man_made=water_tower,other:nature=water_tower
osm:shop=alcohol,shop_and_service:shop=liquor_store
osm:shop=wine,shop_and_service:shop=wine_shop
osm:historic=archaeological_site,do_and_see:attraction=archaeological_site
osm:amenity=kindergarten,education_and_religion:education=kindergarten
osm:amenity=childcare,shop_and_service:service=child_care
osm:amenity=parking,mobility:mobility=parking
osm:shop=dry_cleaning,shop_and_service:service=dry_cleaning
osm:shop=electronics,shop_and_service:shop=home_electronics
osm:amenity=bicycle_rental,do_and_see:fun=bicycle_rental
osm:amenity=boat_rental,do_and_see:fun=boat_charter
osm:shop=boat,do_and_see:fun=boat_rental
